compound_name,pubchem_id,isomeric_smiles,source,flavor
1-Aminopropan-2-ol,4,CC(CN)O,flavorDB,fishy
2-Deoxyhexopyranose,40,C1C(C(C(OC1O)CO)O)O,flavorDB,sweet
3-Methyl-2-oxovaleric acid,47,CCC(C)C(=O)C(=O)O,flavorDB,fruit
3-Methyl-2-oxobutanoic acid,49,CC(C)C(=O)C(=O)O,flavorDB,fruity
2-ketoglutaric acid,51,C(CC(=O)O)C(=O)C(=O)O,flavorDB,odorless
2-oxobutanoic acid,58,CCC(=O)C(=O)O,flavorDB,brown
2-oxobutanoic acid,58,CCC(=O)C(=O)O,flavorDB,caramel
2-oxobutanoic acid,58,CCC(=O)C(=O)O,flavorDB,lactonic
2-oxobutanoic acid,58,CCC(=O)C(=O)O,flavorDB,sweet
2-oxobutanoic acid,58,CCC(=O)C(=O)O,flavorDB,creamy
4-Methyl-2-oxovaleric acid,70,CC(C)CC(=O)C(=O)O,flavorDB,fruity
"3,4-Dihydroxybenzoic Acid",72,C1=CC(=C(C=C1C(=O)O)O)O,flavorDB,phenolic
"3,4-Dihydroxybenzoic Acid",72,C1=CC(=C(C=C1C(=O)O)O)O,flavorDB,balsamic
"3,4-Dihydroxybenzoic Acid",72,C1=CC(=C(C=C1C(=O)O)O)O,flavorDB,mild
3-phenylpropanoic acid,107,C1=CC=C(C=C1)CCC(=O)O,flavorDB,balsamic
3-phenylpropanoic acid,107,C1=CC=C(C=C1)CCC(=O)O,flavorDB,rose
3-phenylpropanoic acid,107,C1=CC=C(C=C1)CCC(=O)O,flavorDB,fatty
3-phenylpropanoic acid,107,C1=CC=C(C=C1)CCC(=O)O,flavorDB,sweet
3-phenylpropanoic acid,107,C1=CC=C(C=C1)CCC(=O)O,flavorDB,musk
3-phenylpropanoic acid,107,C1=CC=C(C=C1)CCC(=O)O,flavorDB,cinnamon
4-aminobutyric acid,119,C(CC(=O)O)CN,flavorDB,savory
4-aminobutyric acid,119,C(CC(=O)O)CN,flavorDB,meaty
4-hydroxybenzyl alcohol,125,C1=CC(=CC=C1CO)O,flavorDB,coconut
4-hydroxybenzyl alcohol,125,C1=CC(=CC=C1CO)O,flavorDB,bitter
