Ingredient,Molecule,PubChem_ID,conc_level
Bakery Products,"2,3-Dimethylpyrazine",22201.0,88.4884
Bakery Products,"2,5-Dimethylpyrazine",31252.0,85.68
Bakery Products,2-Ethylpyrazine,26331.0,64.0254
Bakery Products,2-Ethyl-3-Methylpyrazine,27457.0,28.9961
Bakery Products,2-Methylpyrazine,7976.0,98.8718
Bakery Products,"2,3,5-Trimethylpyrazine",26808.0,72.2298
Bread,coumarin,323.0,5.1128
Bread,Methyl Benzoate,7150.0,19.3292
Bread,3-Hexanone,11509.0,3.0243
Bread,Geraniol,637566.0,14.833
Bread,alpha-Maltose,439341.0,9.4095
Bread,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone (PubChem ID: 33931),,281.1127
Bread,Pyrazine,9261.0,147.0157
Bread,Phlorizin,6072.0,5.5196
Bread,4-Methylpentanoic Acid,12587.0,108.8518
Bread,methanethiol,878.0,1.1793
Bread,daidzein,5281708.0,1.4815
Bread,benzaldehyde,240.0,6.6483
Bread,benzyl alcohol,244.0,223.8247
Bread,alpha-L-Sorbopyranose,441484.0,0.5576
Bread,DL-Liquiritigenin,1889.0,1.8473
Bread,phloretin,4788.0,2.2331
Bread,Hexanal,6184.0,11.0536
Bread,Linamarin,11128.0,5.5918
Bread,2-Methyl-1-Butanol,8723.0,259.0482
Bread,gamma-Caprolactone,12756.0,2.5136
Bread,Heptanoic Acid,8094.0,178.3852
Bread,salicylic acid,338.0,32.401
Bread,Tetradecanoic acid,11005.0,21.1343
Bread,vanillin,1183.0,8.6965
Bread,Dimethyl disulfide,12232.0,0.1776
Bread,(Z)-cinnamyl alcohol (PubChem ID: 5280511),,281.6387
Bread,cinnamyl alcohol,5315892.0,31.7072
Bread,Ethyl Vinyl Ketone,15394.0,30.9058
Bread,hydrogen peroxide,784.0,1.1935
Bread,2-Acetylpyridine,14286.0,42.6301
Bread,Hexanoic Acid,8892.0,92.1024
Bread,Isoeugenol,853433.0,5.8716
Bread,betaine,247.0,5.7996
Bread,Phenethyl acetate,7654.0,8.7558
Bread,ethanol,702.0,55.2315
Bread,Phenylacetic Acid,999.0,110.4904
Bread,cis-3-Hexenal,643941.0,0.8866
Bread,cinnamaldehyde,637511.0,85.6607
Bread,Pentanal,8063.0,16.7677
Bread,Sinapic Acid,637775.0,156.9529
Bread,Cyclopentanone,8452.0,4.9135
Bread,2-Isopropyl-5-methylcyclohexanone,6986.0,6.6371
Bread,2-Phenylethanol,6054.0,4.2702
Bread,(+)-Neomenthol (PubChem ID: 439263),,1.3988
Bread,"2,6-Dimethylpyridine",7937.0,166.3898
Bread,succinic acid,1110.0,186.3376
Bread,NSC5112,5284639.0,6.2144
Bread,Nonanal,31289.0,88.2673
Bread,apigenin,5280443.0,2.8138
Bread,phenylacetaldehyde,998.0,46.0953
Bread,trans-2-Hexen-1-Ol,5318042.0,4.9448
Bread,lauric acid,3893.0,121.9468
Bread,octanoic acid,379.0,135.5508
Bread,5-Methylfurfural,12097.0,391.8616
Bread,thiamine,1130.0,5.2067
Bread,3-Methyl-1-butanol,31260.0,60.8064
Bread,3-Phenylpropanoic acid,107.0,75.1585
Bread,Propionaldehyde,527.0,24.8512
Bread,2-(4-Hydroxyphenyl)ethanol (PubChem ID: 10393),,32.2621
Bread,Acrolein,7847.0,3.7588
Bread,(+)-delta-Cadinene (PubChem ID: 441005),,6.8834
Bread,indole,798.0,9.9728
Bread,Tributyrin,6050.0,4.8145
Bread,2-Methylfuran,10797.0,86.6289
Bread,calcium lactate,13144.0,14.7663
Bread,"2,3-butanedione",650.0,4.7853
Bread,isoliquiritigenin,638278.0,7.6202
Bread,Cinnamic Acid,444539.0,13.9653
Bread,Farnesal,5280598.0,6.3186
Bread,"3,4-Dihydroxybenzaldehyde",8768.0,54.4787
Bread,propionic acid,1032.0,77.7334
Bread,3-Methylbutanal,11552.0,9.9453
Bread,farnesol,445070.0,8.4776
Bread,Daidzin,107971.0,6.3975
Bread,2-Methylbutyraldehyde,7284.0,10.8653
Bread,3-methylthiopropanol,10448.0,428.0594
Bread,Citral,638011.0,6.2675
Bread,2-Methyl-1-propanol,6560.0,346.9166
Bread,formic acid,284.0,53.7138
Bread,palmitic acid,985.0,183.5294
Bread,Isobutyric Acid,6590.0,171.0299
Bread,Methyl Acetate,6584.0,6.2443
